date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:00:05	445/445	---M--	200	added ('OK')	text/plain	date:Sat,%2018%20Aug%202018%2014:00:06%20GMT	https://bitcashout.wixsite.com/robots.txt		(from )
21:00:05	707604/707604	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2014:00:05%20GMT	https://bitcashout.wixsite.com/life	C:/My%20Web%20Sites/githublife/bitcashout.wixsite.com/life.html	(from )
21:00:06	2933/2933	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Aug%202018%2014:00:07%20GMT	https://bitcashout.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/githublife/bitcashout.wixsite.com/sitemap.xml	(from https://bitcashout.wixsite.com/life)
21:00:06	2933/2933	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Aug%202018%2014:00:07%20GMT	https://bitcashout.wixsite.com/feed.xml	C:/My%20Web%20Sites/githublife/bitcashout.wixsite.com/feed.xml	(from https://bitcashout.wixsite.com/life)
21:00:06	15219/15219	---M-Z	200	added ('OK')	application/x-javascript	etag:%220a509f10609f87c0b67c6c4d37569297%22	https://static.parastorage.com/services/third-party/requirejs/2.1.15/require.min.js	C:/My%20Web%20Sites/githublife/static.parastorage.com/services/third-party/requirejs/2.1.15/require.min.js	(from https://bitcashout.wixsite.com/life)
21:00:09	136292/136292	---MCZ	200	added ('OK')	application/javascript	etag:W/%2224fc62bc11986500d7dc23c5d30156a8%22	https://static.parastorage.com/services/santa/1.4286.24/app/main-r.min.js	C:/My%20Web%20Sites/githublife/static.parastorage.com/services/santa/1.4286.24/app/main-r.min.js	(from https://bitcashout.wixsite.com/life)
21:00:09	1525/1525	---M--	200	added ('OK')	image/png	etag:%223c6917fb33e1253998115aa201c321c3%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	C:/My%20Web%20Sites/githublife/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	(from https://bitcashout.wixsite.com/life)
21:00:09	1522/1522	---M--	200	added ('OK')	image/png	etag:%22b99ad060add6edf8dcabf85de74182b0%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	C:/My%20Web%20Sites/githublife/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	(from https://bitcashout.wixsite.com/life)
21:00:11	730625/730625	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2014:00:11%20GMT	https://bitcashout.wixsite.com/life/whitepaper	C:/My%20Web%20Sites/githublife/bitcashout.wixsite.com/life/whitepaper.html	(from https://bitcashout.wixsite.com/life)
21:00:11	708426/708426	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2014:00:11%20GMT	https://bitcashout.wixsite.com/life/vision	C:/My%20Web%20Sites/githublife/bitcashout.wixsite.com/life/vision.html	(from https://bitcashout.wixsite.com/life)
21:00:12	727236/727236	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2014:00:11%20GMT	https://bitcashout.wixsite.com/life/team	C:/My%20Web%20Sites/githublife/bitcashout.wixsite.com/life/team.html	(from https://bitcashout.wixsite.com/life)
21:00:12	716977/716977	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2014:00:12%20GMT	https://bitcashout.wixsite.com/life/roadmap	C:/My%20Web%20Sites/githublife/bitcashout.wixsite.com/life/roadmap.html	(from https://bitcashout.wixsite.com/life)
21:00:12	707037/707037	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2014:00:12%20GMT	https://bitcashout.wixsite.com/life/partners	C:/My%20Web%20Sites/githublife/bitcashout.wixsite.com/life/partners.html	(from https://bitcashout.wixsite.com/life)
21:00:14	5269/5269	---M--	200	added ('OK')	image/png	etag:%223975b654d63bc489dc85404f99710e90%22	http://static.wixstatic.com/media/0da768_0c5ce9e2ffa442bea0b79b690223a939~mv2.png	C:/My%20Web%20Sites/githublife/static.wixstatic.com/media/0da768_0c5ce9e2ffa442bea0b79b690223a939_mv2.png	(from https://bitcashout.wixsite.com/life)
21:00:49	708596/708596	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2014:00:12%20GMT	https://bitcashout.wixsite.com/life/world	C:/My%20Web%20Sites/githublife/bitcashout.wixsite.com/life/world.html	(from https://bitcashout.wixsite.com/life)
21:00:50	721666/721666	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2014:00:13%20GMT	https://bitcashout.wixsite.com/life/faq	C:/My%20Web%20Sites/githublife/bitcashout.wixsite.com/life/faq.html	(from https://bitcashout.wixsite.com/life)
21:00:50	722001/722001	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2014:00:13%20GMT	https://bitcashout.wixsite.com/life/press	C:/My%20Web%20Sites/githublife/bitcashout.wixsite.com/life/press.html	(from https://bitcashout.wixsite.com/life)
21:00:50	2933/2933	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Aug%202018%2014:00:16%20GMT	https://bitcashout.wixsite.com/	C:/My%20Web%20Sites/githublife/bitcashout.wixsite.com/index.html	(from https://static.parastorage.com/services/third-party/requirejs/2.1.15/require.min.js)
